UID        PID  PPID  C STIME TTY          TIME CMD
kangkai   2341  2215  0 09:55 ?        00:00:00 upstart-file-bridge --daemon --user
kangkai   2343  2215  0 09:55 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
kangkai   2347  2215  0 09:55 ?        00:00:00 /usr/lib/gvfs/gvfsd
kangkai   2351  2215  0 09:55 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
kangkai   2367  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/bamf/bamfdaemon
kangkai   2369  2215  0 09:55 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
colord    2390     1  0 09:55 ?        00:00:00 /usr/lib/colord/colord
kangkai   2392  2215  0 09:55 ?        00:00:00 /usr/lib/dconf/dconf-service
kangkai   2395  2306  0 09:55 ?        00:00:00 syndaemon -i 1.0 -t -K -R
kangkai   2399  2215  3 09:55 ?        00:00:48 /usr/bin/pulseaudio --start --log-target=syslog
kangkai   2405  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/indicator-keyboard-service --use-gtk
kangkai   2430  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/indicator-messages/indicator-messages-service
kangkai   2436  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
kangkai   2438  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/indicator-power/indicator-power-service
kangkai   2444  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/indicator-datetime/indicator-datetime-service
kangkai   2445  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/indicator-sound/indicator-sound-service
kangkai   2448  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/indicator-printers/indicator-printers-service
kangkai   2453  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/indicator-session/indicator-session-service
kangkai   2468  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/indicator-application/indicator-application-service
kangkai   2489  2215  0 09:55 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
kangkai   2502  2317  3 09:55 ?        00:00:42 compiz
kangkai   2520  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/notify-osd
kangkai   2562  2317  0 09:55 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
kangkai   2568  2317  0 09:55 ?        00:00:00 nautilus -n
kangkai   2569  2317  0 09:55 ?        00:00:00 /bin/bash /usr/bin/indicator-china-weather
kangkai   2573  2317  0 09:55 ?        00:00:00 nm-applet
kangkai   2575  2569  0 09:55 ?        00:00:00 python /usr/share/indicator-china-weather/src/indicator-china-weather.py
kangkai   2578  2317  0 09:55 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kangkai   2589  2215  0 09:55 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      2592     1  0 09:55 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
kangkai   2603  2215  0 09:55 ?        00:00:00 /usr/lib/i386-linux-gnu/gconf/gconfd-2
kangkai   2608  2215  0 09:55 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
